Country Name,Country Code,Time,Time Code,Access to Clean Fuels and Technologies for cooking (% of total population) [2.1_ACCESS.CFT.TOT],Access to electricity (% of rural population with access) [1.2_ACCESS.ELECTRICITY.RURAL],Access to electricity (% of total population) [1.1_ACCESS.ELECTRICITY.TOT],Access to electricity (% of urban population with access) [1.3_ACCESS.ELECTRICITY.URBAN],Energy intensity level of primary energy (MJ/2011 USD PPP) [6.1_PRIMARY.ENERGY.INTENSITY],Renewable electricity output (GWh) [4.1.2_REN.ELECTRICITY.OUTPUT],Renewable electricity share of total electricity output (%) [4.1_SHARE.RE.IN.ELECTRICITY],Renewable energy consumption (TJ) [3.1_RE.CONSUMPTION],Renewable energy share of TFEC (%) [2.1_SHARE.TOTAL.RE.IN.TFEC],Total electricity output (GWh) [4.1.1_TOTAL.ELECTRICITY.OUTPUT],Total final energy consumption (TFEC) (TJ) [1.1_TOTAL.FINAL.ENERGY.CONSUM]
Afghanistan,AFG,2007,YR2007,15.99,18.9162228544509,33.7486801147461,81.8002548217774,1.46093757483826,684,72,15270.5,33.8625788265031,950,45095.50226
Afghanistan,AFG,2008,YR2008,17.44,32.5,42.4,89.9,2.14758991176544,541,68.6548223350254,15312.85,21.3437080759002,788,71744.09407
Afghanistan,AFG,2009,YR2009,18.84,31.8451566296939,44.8548851013184,85.3545074462891,2.61706039799516,775,87.1766029246344,16854.19,17.8138547564602,889,94612.818115
Afghanistan,AFG,2010,YR2010,20.68,32.4,42.7,82.8,2.93993655831435,767,85.9865470852018,19578.7,14.8398059645804,892,131933.665755
Afghanistan,AFG,2011,YR2011,22.33,33.3801103938629,43.2220189082037,86.5677791512155,3.7559233122206,829,82.4875621890547,20435.21,11.4827062291243,1005,177965.10328
Afghanistan,AFG,2012,YR2012,24.08,63.8,69.1,95,2.98475717572819,878,85.9099804305284,22561.36,13.9735856888609,1022,161457.19862
Afghanistan,AFG,2013,YR2013,26.17,58.4236674312945,67.2595520019531,92.5772933959961,2.75118171303033,803.9,78.6364080993837,22073.09,16.3342925084743,1022.3,135133.431635
Afghanistan,AFG,2014,YR2014,27.99,87.8,89.5,98.7,2.63753256874586,895.3,85.3235490326885,24448.73,19.3142686133983,1049.3,126583.77332
Afghanistan,AFG,2015,YR2015,30.1,64.2,71.5,92.5,2.45770500221765,889.5,86.0501112508465,25134.53,18.4234771693218,1033.7,136426.63526
Afghanistan,AFG,2016,YR2016,32.44,78.9610743548116,84.1371383666992,98.0384140014648,..,..,..,..,..,..,..
Albania,ALB,2007,YR2007,58.14,100,100,100,3.56830033075486,2788,97.4825174825175,22144.92,32.1009372127814,2860,68985.27558
Albania,ALB,2008,YR2008,60.75,100,100,100,3.44266337837328,3797,100,25902.98,35.9129061124767,3797,72127.217772
Albania,ALB,2009,YR2009,63.24,100,100,100,3.40910494349766,5201,99.9807766243752,28426.24,37.2166378004051,5202,76380.462288
Albania,ALB,2010,YR2010,65.23,100,100,100,3.25674823642822,7567,99.9867864693446,29286.06,37.1153297675702,7568,78905.563236
Albania,ALB,2011,YR2011,67.81,100,100,100,3.32280096667451,4132,98.5922214268671,29278.34,35.9625316031337,4191,81413.456436
Albania,ALB,2012,YR2012,69.96,100,100,100,2.94132361651685,4725,100,29877.97,40.048299596384,4725,74604.840408
Albania,ALB,2013,YR2013,71.78,100,100,100,3.38252848875172,6959,100,33755.15,41.2889737241069,6959,81753.424596
Albania,ALB,2014,YR2014,73.98,100,100,100,3.15887895342285,4724,100,33160.59,38.6895007576277,4724,85709.531916
Albania,ALB,2015,YR2015,75.37,100,100,100,2.88661148238797,5895,100,31555.45,38.6152104692153,5895,81717.669324
Albania,ALB,2016,YR2016,77.42,100,100,100,..,..,..,..,..,..,..
Algeria,DZA,2007,YR2007,91.56,97.3348300696472,98.7701416015625,99.5312423706055,3.57654770530432,226,0.607592214216582,3600.779,0.411409249680193,37196,875230.44336
Algeria,DZA,2008,YR2008,92.06,97.9106348685192,99.3,100,3.53394809876618,283,0.703350233621632,2707.185,0.298765661995095,40236,906123.207708
Algeria,DZA,2009,YR2009,92.42,97.4621338816812,98.8276748657227,99.5056838989258,3.8040116688551,306,0.794784551050622,3044.288,0.311808048810447,38501,976334.001516
Algeria,DZA,2010,YR2010,92.41,97.5942707575627,98.8849716186523,99.5056838989258,3.61086794276635,174,0.380460926225565,2627.102,0.258071761617743,45734,1017973.444104
Algeria,DZA,2011,YR2011,92.49,97.7663568724386,98.9572982788086,99.5123748779297,3.66062463761199,502,0.980009370607528,1939.493,0.177339472170288,51224,1093661.200332
Algeria,DZA,2012,YR2012,92.47,97.8587842072279,98.7646604654583,99.2567375886525,3.89139397319131,622,1.08368033172465,2242.983,0.188181413152951,57397,1191925.898748
Algeria,DZA,2013,YR2013,92.83,98.1866565097851,99.1349868774414,99.5509643554688,3.91835131090751,330,0.55101018533979,1774.082,0.140451784823769,59890,1263125.279772
Algeria,DZA,2014,YR2014,93.1,98.4296234301151,99.2343444824219,99.5771102905273,4.1023561853248,254,0.395379969490365,902.2791,0.0686404751413344,64242,1314500.07906
Algeria,DZA,2015,YR2015,92.7,98.687682525808,99.3367080688477,99.6053314208984,4.13270236532592,222,0.322683798947644,833.6698,0.0589586840918149,68798,1413989.835156
Algeria,DZA,2016,YR2016,92.62,98.9553723612358,99.439567565918,99.6344299316406,..,..,..,..,..,..,..
American Samoa,ASM,2007,YR2007,..,..,..,..,..,0,0,0,0,185.2,582.12
American Samoa,ASM,2008,YR2008,..,..,..,..,..,0,0,0,0,188.4,599.76
American Samoa,ASM,2009,YR2009,..,..,..,..,..,0,0,0,0,178.3,569.88
American Samoa,ASM,2010,YR2010,..,..,..,..,..,0,0,0,0,159.1,510.48
American Samoa,ASM,2011,YR2011,..,..,..,..,..,0,0,0,0,155,490.68
American Samoa,ASM,2012,YR2012,..,..,..,..,..,1.1,0.70242656449553,3.396092,0.702426574005129,156.6,483.48
American Samoa,ASM,2013,YR2013,..,..,..,..,..,1.1,0.703140481075933,3.430198,0.70314054045633,156.441,487.8396
American Samoa,ASM,2014,YR2014,..,..,..,..,..,1.1,0.700882474752302,3.40046,0.700882415260351,156.945,485.1684
American Samoa,ASM,2015,YR2015,..,..,..,..,..,1.5,0.885478158205431,4.968064,0.885478201974834,169.4,561.06
American Samoa,ASM,2016,YR2016,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,2007,YR2007,100,100,100,100,..,57,75,1592.454,16.9407765392179,76,9400.12399262497
Andorra,AND,2008,YR2008,100,100,100,100,..,63,80.0508259212198,1639.672,17.4227405802947,78.7,9411.10264738997
Andorra,AND,2009,YR2009,100,100,100,100,..,62,76.5432098765432,1588.375,17.5159481688922,81,9068.16453602498
Andorra,AND,2010,YR2010,100,100,100,100,..,100,88.7311446317657,1742.786,19.090729970947,112.7,9128.96469989488
Andorra,AND,2011,YR2011,100,100,100,100,..,78.9,86.5131578947369,1644.003,18.9715458373925,91.2,8665.6249
Andorra,AND,2012,YR2012,100,100,100,100,..,76.2,86.6894197952219,1663.126,19.1955286928342,87.9,8664.1322915
Andorra,AND,2013,YR2013,100,100,100,100,..,101.8,88.7532693984307,1660.739,19.5636980308198,114.7,8488.8807698
Andorra,AND,2014,YR2014,100,100,100,100,..,113.4,89.4321766561514,1640.716,19.8863229427674,126.8,8250.474483
Andorra,AND,2015,YR2015,100,100,100,100,..,85.6,86.1167002012072,1642.52,19.7478086257358,99.4,8317.479833481
Andorra,AND,2016,YR2016,100,100,100,100,..,..,..,..,..,..,..
Angola,AGO,2007,YR2007,41.91,8.8,37.5,66.1,3.61227313482103,2497,77.6188995958968,201571.8,61.5997035024139,3217,327228.523092
Angola,AGO,2008,YR2008,42.58,16.0093751034264,31.2680130004883,55.6329383850098,3.43536775588835,3134,75.4090471607315,207937.7,58.1079750373659,4156,357847.093908
Angola,AGO,2009,YR2009,43.32,16.1241287971656,32.3824691772461,57.4950065612793,3.64542773993288,3094,65.3431890179514,211971.1,55.7489765055489,4735,380224.200132
Angola,AGO,2010,YR2010,44.1,16.209957525451,33.514949798584,59.3677825927734,3.69791414414492,3703,67.9574233804368,218134.7,54.1938366242148,5449,402508.317528
Angola,AGO,2011,YR2011,44.8,5.5,34.6,82.5,3.69596755483713,4007,70.9078039285082,223293.9,52.7156787625416,5651,423581.570496
Angola,AGO,2012,YR2012,45.36,16.284298196036,35.821964263916,63.1383361816406,3.85707799126981,3772,60.7994842037395,226763.8,52.245736309469,6204,434033.121204
Angola,AGO,2013,YR2013,46.15,16.2722367518154,36.9904899597168,65.0325393676758,3.615593682837,4767,58.0209347614411,234067.9,50.6861160063949,8216,461798.848368
Angola,AGO,2014,YR2014,46.67,3,32,51,3.64620058216181,5041,53.1751054852321,239123.1,50.7974606805424,9480,470738.294388
Angola,AGO,2015,YR2015,47.36,7,42,64,3.60595906776897,5192,53.1749283080705,243771.1,49.5682103295777,9764,491789.189844
Angola,AGO,2016,YR2016,48.05,15.9842091217441,40.5206069946289,70.729736328125,..,..,..,..,..,..,..
Anguilla,AIA,2007,YR2007,..,..,99.5797271728516,99.5797271728516,..,0,0,1.827,0.116958165850136,89,1562.097
Anguilla,AIA,2008,YR2008,..,..,99.8498077392578,99.8498077392578,..,0,0,1.827,0.115611911000976,89.5,1580.287
Anguilla,AIA,2009,YR2009,..,..,99.9663391113281,99.9663391113281,..,0,0,1.827,0.117811909771682,91.2,1550.777
Anguilla,AIA,2010,YR2010,..,..,99.9965057373047,99.9965057373047,..,0,0,1.827,0.116685518158425,98.6,1565.747
Anguilla,AIA,2011,YR2011,..,..,100,100,..,0,0,1.827,0.125466378512904,95.2,1456.167
Anguilla,AIA,2012,YR2012,..,..,100,100,..,0,0,1.827,0.125590574726392,89.5,1454.727
Anguilla,AIA,2013,YR2013,..,..,100,100,..,0,0,1.827,0.144908339724793,88.6,1260.797
Anguilla,AIA,2014,YR2014,..,..,100,100,..,0,0,1.827,0.128141554686004,89.5,1425.767
Anguilla,AIA,2015,YR2015,..,..,100,100,..,0,0,1.827,0.11285043395223,94.3,1618.957
Anguilla,AIA,2016,YR2016,..,..,100,100,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,2007,YR2007,98.03,90.1105123965889,92.8556442260742,99.9136657714844,3.11633481101568,0,0,0,0,285.4,4139.74
Antigua and Barbuda,ATG,2008,YR2008,98.1,90.8022997669207,93.2994079589844,99.9136657714844,3.19045390361605,0,0,0,0,296,4244.17
Antigua and Barbuda,ATG,2009,YR2009,98.24,91.507898327792,93.7641983032227,99.921127319336,3.82872188916886,0,0,0,0,327.4,4605.39
Antigua and Barbuda,ATG,2010,YR2010,98.34,92.2216022036301,94.2470092773438,99.9407043457031,4.18138936186965,5,1.49476831091181,0,0,326,4412.85
Antigua and Barbuda,ATG,2011,YR2011,98.43,92.6829447409294,94.5520140336941,99.9649963378906,4.1842523050426,5,1.49700598802395,0,0,325,4337.15
Antigua and Barbuda,ATG,2012,YR2012,98.48,93.6665174886193,95.2546920776367,99.9850692749023,4.13779727112478,0,0,0,0,327,4492.95
Antigua and Barbuda,ATG,2013,YR2013,98.55,94.3927274297992,95.773551940918,99.9959869384766,4.15217458735459,0,0,0,0,330,4456.95
Antigua and Barbuda,ATG,2014,YR2014,98.61,95.1174398559878,96.2984161376953,99.9994964599609,4.01155114083803,0,0,0,0,336,4528.41
Antigua and Barbuda,ATG,2015,YR2015,98.67,95.8364899944525,96.8262939453125,100,3.89162926503199,0,0,0,0,340,4701.1
Antigua and Barbuda,ATG,2016,YR2016,98.75,96.5468913480825,97.3546676635742,100,..,..,..,..,..,..,..
Argentina,ARG,2007,YR2007,97.02,97.5394134521484,97.5394134521484,97.5394134521484,4.30281027914211,32055,29.8422008099427,186410.3,8.88764897855596,107415,2097408.44232
Argentina,ARG,2008,YR2008,97.34,97.9341278076173,97.9341278076172,97.9341278076172,4.35285195831845,32035,26.3437057991513,167685.9,7.60968712045958,121604,2203584.685488
Argentina,ARG,2009,YR2009,97.49,98.36336517334,98.3633651733398,98.3633651733398,4.5033185148229,35268,28.9274026197721,179429.3,8.57406117511144,121919,2092699.087812
Argentina,ARG,2010,YR2010,97.63,98.8199999999998,98.82,98.82,4.2511819557134,35807,28.5854562001549,195456.7,8.96144595214523,125263,2181084.403608
Argentina,ARG,2011,YR2011,97.82,99.2161636352536,99.2161636352539,99.2161636352539,4.10057606014049,41854,32.305970437266,227695.1,10.1168467244514,129555,2250652.85856
Argentina,ARG,2012,YR2012,97.94,99.5844116210937,99.5844116210938,99.5844116210938,4.15885335147252,39686,29.2611353196635,225138,9.86670170197468,135627,2281795.95168
Argentina,ARG,2013,YR2013,98.1,99.8371276855468,99.8371276855469,99.8371276855469,4.17514182389459,43788,31.4844907174391,232691.4,10.2103228997482,139171,2278981.79406
Argentina,ARG,2014,YR2014,98.16,99.959243774414,99.9592437744141,99.9592437744141,4.34415636771924,43620,31.5762041956827,254377,10.9019579336328,141260,2333314.818756
Argentina,ARG,2015,YR2015,98.29,99.9952087402346,99.9952087402344,99.9952087402344,4.34010162122093,40791,28.1400691239471,239470.6,10.040077613914,144957,2385146.90034
Argentina,ARG,2016,YR2016,98.4,100,100,100,..,..,..,..,..,..,..
Armenia,ARM,2007,YR2007,91.67,99.0096673711266,99.3310394287109,99.5108947753906,5.80875854763118,1856,31.4682943370634,5757.101,7.01726248020608,5898,82041.978852
Armenia,ARM,2008,YR2008,92.55,99.1165209563131,99.4156494140625,99.5839309692383,5.72185956521961,1799,31.1785095320624,5823.12,6.4051674924082,5770,90912.845088
Armenia,ARM,2009,YR2009,93.33,99.2575073650796,99.5198135375976,99.6687164306641,5.79058510971917,2023,35.6727208605184,6119.523,7.80055609506316,5671,78449.830056
Armenia,ARM,2010,YR2010,94.04,99.8,99.8,99.7,5.39073412326074,2563,39.4854413803728,6989.174,9.35981700562644,6491,74672.122284
Armenia,ARM,2011,YR2011,94.77,99.6131398901937,99.7671508789062,99.8561706542969,5.63053987808689,2492,33.5397039030956,6574.54,8.00961530742766,7430,82083.093228
Armenia,ARM,2012,YR2012,95.1,99.7873630684024,99.8788757324219,99.9322509765625,5.74563091169636,2326,28.9447486311598,5690.971,6.56571131176592,8036,86677.143264
Armenia,ARM,2013,YR2013,95.69,99.9138800404492,99.9540557861328,99.9776763916016,5.43058112937585,2177,28.2360570687419,5850.064,6.7712176363861,7710,86396.041512
Armenia,ARM,2014,YR2014,96.12,99.9778159455329,99.9889755249023,99.9955825805664,5.34738126773887,1996,25.7548387096774,6381.869,7.72473444046229,7750,82616.031
Armenia,ARM,2015,YR2015,96.62,100,100,100,5.38244293235421,2210,28.3369662777279,13445.59,15.7920038357833,7799,85141.759968
Armenia,ARM,2016,YR2016,96.9,100,100,100,..,..,..,..,..,..,..
Aruba,ABW,2007,YR2007,..,87.2800943271598,92.8388214111328,99.8713836669922,..,0,0,11.55298,0.190059132428849,936,6078.62398
Aruba,ABW,2008,YR2008,..,87.7954297271775,93.086166381836,99.8795318603516,..,0,0,11.79183,0.193546025766485,913.6,6092.51983
Aruba,ABW,2009,YR2009,..,88.3301448646907,93.3545455932617,99.901481628418,..,0,0,18.51272,0.299773815834368,924.3,6175.562715
Aruba,ABW,2010,YR2010,..,88.3834352048656,93.3562921509542,99.9322814941406,..,106.5,11.3273771537971,340.2333,5.46471590573899,940.2,6226.001605
Aruba,ABW,2011,YR2011,..,89.4559200945327,93.9423751831055,99.9632339477539,..,112.6,12.101020956475,354.7885,5.661788374133,930.5,6266.36809
Aruba,ABW,2012,YR2012,..,90.0442292277689,94.2558135986328,99.9855880737305,..,136.4,14.9152542372881,431.2133,6.85584956908594,914.5,6289.71356
Aruba,ABW,2013,YR2013,..,90.6454606661621,94.5782623291016,99.9964447021484,..,138.4,14.9121861868333,437.8701,6.88975298437996,928.1,6355.381695
Aruba,ABW,2014,YR2014,..,91.2520466977627,94.9067230224609,99.9995880126953,..,138.4,15.0992799476326,444.4195,6.9275015416327,916.6,6415.29269
Aruba,ABW,2015,YR2015,..,91.8562064439229,95.2381820678711,100,3.32454092428131,138.4,14.8561614426793,437.772,6.72674756598399,931.6,6507.92966
Aruba,ABW,2016,YR2016,..,92.4528443723035,95.5701446533203,100,..,..,..,..,..,..,..
Australia,AUS,2007,YR2007,100,100,100,100,6.04909018664491,21013,8.64807246716794,203771,6.95158629028628,242979,2931287.788008
Australia,AUS,2008,YR2008,100,100,100,100,6.04862865419976,19726,8.11525755637195,202271.6,6.78956927368411,243073,2979152.164836
Australia,AUS,2009,YR2009,100,100,100,100,5.96041909961583,18602,7.49793425905399,211507.8,7.11282715112279,248687,2973610.8513
Australia,AUS,2010,YR2010,100,100,100,100,5.86381345357689,21758,8.61187962842023,244814.1,8.10902729265093,252651,3019031.644176
Australia,AUS,2011,YR2011,100,100,100,100,5.75966043446639,26474,10.4266522781963,254904.8,8.25618114983427,253907,3087441.946512
Australia,AUS,2012,YR2012,100,100,100,100,5.48834789173743,26599,10.5926533603071,256741.7,8.247109347095,251108,3113111.384784
Australia,AUS,2013,YR2013,100,100,100,100,5.34612456482868,33110,13.2641083883167,290076.8,9.08848190986827,249621,3191696.950896
